"year","category","birthyear","gender","name"
"1952","literature","1885","M","François Mauriac"
"1922","physics","1885","M","Niels Bohr"
"1950","medicine","1886","M","Edward Kendall"
"1922","medicine","1886","M","Archibald Hill"
"1933","physics","1887","M","Erwin Schrödinger"
"1925","physics","1887","M","Gustav Hertz"
"1946","chemistry","1887","M","James Sumner"
"1968","peace","1887","M","René Cassin"
"1947","medicine","1887","M","Bernardo Houssay"
"1960","literature","1887","M","Saint-John Perse"
"1936","literature","1888","M","Eugene O'Neill"
"1939","literature","1888","M","Frans Sillanpää"
"1953","physics","1888","M","Frits Zernike"
"1952","medicine","1888","M","Selman Waksman"
"1966","literature","1888","M","Shmuel Agnon"
"1944","medicine","1888","M","Herbert Gasser"
"1943","physics","1888","M","Otto Stern"
"1945","literature","1889","F","Gabriela Mistral"
"1937","chemistry","1889","M","Paul Karrer"
"1959","peace","1889","M","Philip Noel-Baker"
"1958","literature","1890","M","Boris Pasternak"
"1946","medicine","1890","M","Hermann Muller"
"1915","physics","1890","M","William Bragg"
"1923","medicine","1891","M","Frederick Banting"
"1935","physics","1891","M","James Chadwick"
"1946","chemistry","1891","M","John Northrop"
"1951","literature","1891","M","Pär Lagerkvist"
"1954","physics","1891","M","Walther Bothe"
"1966","literature","1891","F","Nelly Sachs"
"1938","literature","1892","F","Pearl Buck"
"1927","physics","1892","M","Arthur Compton"
"1937","physics","1892","M","George Thomson"
"1934","medicine","1892","M","William Murphy"
"1938","medicine","1892","M","Corneille Heymans"
"1934","chemistry","1893","M","Harold Urey"
"1943","medicine","1893","M","Edward Doisy"
"1978","physics","1894","M","Pyotr Kapitsa"
"1956","medicine","1895","M","Dickinson Richards"
"1943","medicine","1895","M","Henrik Dam"
"1945","chemistry","1895","M","Artturi Virtanen"
"1969","economics","1895","M","Ragnar Frisch"
"1939","medicine","1895","M","Gerhard Domagk"
"1956","medicine","1895","M","André Cournand"
"1958","physics","1895","M","Igor Tamm"
"1949","chemistry","1895","M","William Giauque"
"1975","literature","1896","M","Eugenio Montale"
"1950","medicine","1896","M","Philip Hench"
"1966","chemistry","1896","M","Robert Mulliken"
"1947","medicine","1896","M","Carl Cori"
"1935","chemistry","1897","F","Irène Joliot-Curie"
"1979","chemistry","1897","M","Georg Wittig"
"1948","physics","1897","M","Patrick Blackett"
"1967","chemistry","1897","M","Ronald Norrish"
"1954","medicine","1897","M","John Enders"
"1969","chemistry","1897","M","Odd Hassel"
"1950","medicine","1897","M","Tadeus Reichstein"
"1957","peace","1897","M","Lester Pearson"
"1949","literature","1897","M","William Faulkner"
"1944","physics","1898","M","Isidor Rabi"
"1974","economics","1898","M","Gunnar Myrdal"
