"year","category","birthyear","gender","name"
"1993","chemistry","1944","M","Kary Mullis"
"1996","physics","1945","M","Douglas Osheroff"
"2005","chemistry","1945","M","Richard Schrock"
"2006","physics","1945","M","George Smoot"
"2004","literature","1946","F","Elfriede Jelinek"
"2006","physics","1946","M","John Mather"
"2004","medicine","1946","M","Richard Axel"
"1984","medicine","1946","M","Georges Köhler"
"1999","chemistry","1946","M","Ahmed Zewail"
"1995","medicine","1947","M","Eric Wieschaus"
"1989","chemistry","1947","M","Thomas Cech"
"2002","medicine","1947","M","H. Horvitz"
"2006","chemistry","1947","M","Roger Kornberg"
"2013","chemistry","1947","M","Michael Levitt"
"2003","peace","1947","F","Shirin Ebadi"
"1986","physics","1947","M","Gerd Binnig"
"2004","medicine","1947","F","Linda Buck"
"2008","medicine","1947","F","Françoise Barré-Sinoussi"
"2008","chemistry","1947","M","Martin Chalfie"
"2004","chemistry","1947","M","Aaron Ciechanover"
"2009","medicine","1948","M","Elizabeth Blackburn"
"1997","physics","1948","M","Steven Chu"
"1988","chemistry","1948","M","Hartmut Michel"
"2013","medicine","1948","M","Randy Schekman"
"2010","economics","1948","M","Christopher Pissarides"
"1996","peace","1948","M","Carlos Belo"
"1997","physics","1948","M","William Phillips"
"2003","chemistry","1949","M","Peter Agre"
"1998","physics","1949","M","Horst Störmer"
"1996","peace","1949","M","José Ramos-Horta"
"2007","economics","1950","M","Eric Maskin"
"1993","physics","1950","M","Russell Hulse"
"2013","medicine","1950","M","James Rothman"
"1997","peace","1950","F","Jody Williams"
"1998","physics","1950","M","Robert Laughlin"
"2007","economics","1951","M","Roger Myerson"
"2005","medicine","1951","M","Barry Marshall"
"2012","economics","1951","M","Alvin Roth"
"2004","physics","1951","M","Frank Wilczek"
"2001","physics","1951","M","Carl Wieman"
"2009","medicine","1952","M","Jack Szostak"
"2008","chemistry","1952","M","Roger Tsien"
"2013","economics","1952","M","Lars Hansen"
"2006","literature","1952","M","Orhan Pamuk"
"2009","chemistry","1952","M","Venkatraman Ramakrishnan"
"2008","economics","1953","M","Paul Krugman"
"2009","literature","1953","F","Herta Müller"
"2013","medicine","1955","M","Thomas Südhof"
"2012","chemistry","1955","M","Brian Kobilka"
"2010","peace","1955","M","Liu Xiaobo"
"2003","chemistry","1956","M","Roderick MacKinnon"
"2001","physics","1957","M","Wolfgang Ketterle"
"2011","medicine","1957","M","Bruce Beutler"
"2010","physics","1958","M","Andre Geim"
"2002","chemistry","1959","M","Koichi Tanaka"
"2006","medicine","1959","M","Andrew Fire"
"2011","physics","1959","M","Saul Perlmutter"
"2006","medicine","1960","M","Craig Mello"
"2001","physics","1961","M","Eric Cornell"
"2009","peace","1961","M","Barack Obama"
"2009","medicine","1961","F","Carol Greider"
"2012","medicine","1962","M","Shinya Yamanaka"
"2011","physics","1967","M","Brian Schmidt"
"2011","physics","1969","M","Adam Riess"
"2011","peace","1972","M","Leymah Gbowee"
"2010","physics","1974","M","Konstantin Novoselov"
"2011","peace","1979","M","Tawakkol Karman"
